id,Date,Count,Hour,Hotness,Humidity,Wind Speed,Visibility,Solar Radiation,Rainfall,Snowfall,Seasons,Holiday,Working Day
1,05/08/2018,222,6:00,300.3,83,5.04,1080,0,0,0,Summer,NO,YES
2,21/01/2018,170,23:00,272.6,32,2.16,2000,0,0,0,Winter,NO,YES
3,11/05/2018,486,6:00,285,83,1.44,321,0.01,0,0,Spring,NO,YES
4,05/07/2018,929,13:00,301.1,67,3.96,1772,1.43,0,0,Summer,NO,YES
5,02/01/2018,58,5:00,269.9,67,2.16,1384,0,0,0,Winter,NO,YES
6,09/08/2018,1494,22:00,300.5,82,1.44,1228,0,0,0,Summer,NO,YES
7,15/09/2018,881,1:00,294.8,79,5.04,2000,0,0,0,Autumn,NO,YES
8,12/06/2018,1202,12:00,297,51,6.48,2000,2.29,0,0,Summer,NO,YES
9,20/09/2018,886,0:00,293.1,58,1.08,2000,0,0,0,Autumn,NO,YES
10,15/03/2018,214,16:00,283.7,98,4.32,196,0.14,0,0,Spring,NO,YES
11,11/09/2018,1222,15:00,299,40,6.84,2000,1.53,0,0,Autumn,NO,YES
12,26/12/2017,72,3:00,270.4,70,3.6,1992,0,0,0,Winter,NO,YES
13,06/09/2018,2270,8:00,294.8,77,3.24,1419,0.43,0,0,Autumn,NO,YES
14,26/08/2018,1025,16:00,296.5,56,8.28,2000,0.5,0.1,0,Summer,NO,YES
15,10/02/2018,41,5:00,274.8,75,7.2,484,0,0,0,Winter,NO,YES
16,26/05/2018,1285,12:00,299.2,31,4.32,1161,3.18,0,0,Spring,NO,YES
17,12/12/2017,580,8:00,260.7,52,4.68,1914,0,0,0,Winter,NO,YES
18,06/06/2018,332,4:00,292.2,68,2.88,1181,0,0,0,Summer,YES,YES
19,27/01/2018,162,18:00,266.4,31,10.8,1988,0.06,0,0,Winter,NO,YES
20,30/10/2018,982,9:00,276.7,49,6.84,1961,0.89,0,0,Autumn,NO,YES
21,09/02/2018,268,13:00,275.6,27,2.88,1120,0.82,0,0,Winter,NO,YES
22,21/04/2018,1730,15:00,298,13,14.76,2000,2.98,0,0,Spring,NO,YES
23,13/10/2018,835,0:00,282.1,69,3.24,1885,0,0,0,Autumn,NO,YES
24,25/06/2018,962,0:00,295.9,79,2.16,715,0,0,0,Summer,NO,YES
25,23/09/2018,644,1:00,289.4,66,0.36,2000,0,0,0,Autumn,YES,YES
26,01/08/2018,521,11:00,308.8,41,5.76,1795,2.77,0,0,Summer,NO,YES
27,01/10/2018,143,4:00,286.7,56,6.84,2000,0,0,0,Autumn,NO,YES
28,16/07/2018,324,5:00,297.3,85,3.6,1496,0,0,0,Summer,NO,YES
29,27/05/2018,234,6:00,290.3,62,5.04,1293,0.03,0,0,Spring,NO,YES
30,20/11/2018,1317,19:00,281.7,34,7.92,1857,0,0,0,Autumn,NO,YES
31,10/09/2018,2090,21:00,295.5,48,5.04,2000,0,0,0,Autumn,NO,YES
32,06/07/2018,1318,9:00,296.3,61,6.12,2000,0.8,0,0,Summer,NO,YES
33,14/06/2018,453,2:00,293.8,73,2.88,829,0,0,0,Summer,NO,YES
34,14/07/2018,910,10:00,300.8,68,7.56,1490,1.29,0,0,Summer,NO,YES
35,27/10/2018,640,0:00,282.9,65,11.52,2000,0,0,0,Autumn,NO,YES
36,21/10/2018,1976,16:00,293.2,24,9,1881,1.31,0,0,Autumn,NO,YES
37,19/01/2018,341,12:00,277.3,28,5.4,1858,0.98,0,0,Winter,NO,YES
38,22/10/2018,253,2:00,283.5,57,0.72,1837,0,0,0,Autumn,NO,YES
39,15/11/2018,1300,9:00,279.8,64,3.6,949,0.5,0,0,Autumn,NO,YES
40,18/02/2018,337,13:00,276.7,17,5.04,2000,1.98,0,0,Winter,NO,YES
41,12/11/2018,1699,8:00,276.3,69,0,2000,0.06,0,0,Autumn,NO,YES
42,15/04/2018,110,4:00,279,84,6.12,951,0,0,0,Spring,NO,YES
43,21/01/2018,107,3:00,271,60,1.8,474,0,0,0,Winter,NO,YES
44,06/07/2018,3196,18:00,298.9,52,7.56,2000,0.57,0,0,Summer,NO,YES
45,23/12/2017,188,8:00,278.1,83,3.24,297,0,0,0,Winter,NO,YES
46,14/09/2018,2253,8:00,294.4,70,5.4,1986,0.38,0,0,Autumn,NO,YES
47,13/10/2018,971,23:00,284,62,1.08,946,0,0,0,Autumn,NO,YES
